"order_id","amazon_id","flipkart_id","myntra_id","gender","location","product_category","quantity","coupan_status","ofline_spend","coupan_code","region","country","item_type","sales_channel","name","product","m_price","color","m_brand","category","f_price","stock_qty","f_ratings","f_brand","f_seller"
11,"A-11","F_11","M-11","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Asia","Kyrgyzstan","Vegetables","Online","Varanga Women Mustard Yellow Floral Yoke Embroidered Straight Kurta","Kurta",1999,"Mustard","Varanga","Wearable Technology","2040.81",626,"3.8","Fitbit","Sports Zone"
12,"A-12","F_12","M-12","M","Chicago","Nest-USA","1","Not Used",4500,"ELEC10","Sub-Saharan Africa","Cape Verde","Clothes","Offline","AHIKA Women Teal Ethnic Motifs Yoke Design Kurta with Trousers & With Dupatta","Kurta, Trousers, Dupatta",3748,"Teal","AHIKA","Mobile Phones","25838.77",238,"4.4","Samsung","Sports Zone"
13,"A-13","F_13","M-13","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Asia","Bangladesh","Clothes","Online","Vishudh Women Navy Blue Floral Printed Regular Pure Cotton Kurta with Palazzos","Kurta, Palazzos",2149,"Navy Blue","Vishudh","Headphones","72266.09",593,"4.2","Sony","TV World"
14,"A-14","F_14","M-14","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Central America and the Caribbean","Honduras","Household","Offline","Anouk Women Peach-Coloured Yoke Design Mirror-Work Kurta with Trousers & With Dupatta","Kurta, Trousers, Dupatta",3799,"Peach","Anouk","Mobile Phones","108097.7",822,"4","Samsung","Health Gear"
15,"A-15","F_15","M-15","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Asia","Mongolia","Personal Care","Offline","Varanga Women Yellow & Peach-Coloured Floral Screen Printed Gotta Patti Straight Kurta","Kurta",2799,"Yellow","Varanga","Footwear","90365.59",847,"3","Adidas","Camera Store"
16,"A-16","F_16","M-16","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Europe","Bulgaria","Clothes","Online","AHIKA Floral Print Straight Cotton Kurta With Keyhole Neck","Kurta",1198,"Green","AHIKA","Footwear","6586.21",455,"3.3","Nike","Sports Zone"
17,"A-17","F_17","M-17","M","Chicago","Nest-USA","2","Used",4500,"ELEC10","Asia","Sri Lanka","Cosmetics","Offline","Anouk Women Black & Orange Bandhani Printed Kurta","Kurta",1699,"Black","Anouk","Mobile Phones","88339.26",104,"4.9","Apple","Sports Zone"
18,"A-18","F_18","M-18","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Sub-Saharan Africa","Cameroon","Beverages","Offline","Libas Women Blue Embroidered Panelled Kurta with Churidar & With Dupatta","Kurta, Churidar, Dupatta",4999,"Blue","Libas","Laptops","54777.04",596,"4.2","Dell","Sports Zone"
19,"A-19","F_19","M-19","M","Chicago","Nest-USA","1","Not Used",4500,"ELEC10","Asia","Turkmenistan","Household","Offline","JAIPURI BUNAAI Women Blue & Orange Ethnic Motifs Printed Kurta With Trousers & Dupatta","Kurta, Trousers, Dupatta",3999,"Blue","JAIPURI BUNAAI","Headphones","141616.3",629,"4.4","Sony","Audio World"
20,"A-20","F_20","M-20","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Australia and Oceania","East Timor","Meat","Online","KALINI Women Sea Green Floral Yoke Design Pleated Pure Cotton Top with Skirt & With Dupatta","Top, Skirt, Dupatta",3999,"Sea Green","KALINI","Wearable Technology","116277.8",137,"4.5","Fitbit","Sports Zone"
21,"A-21","F_21","M-21","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Europe","Norway","Baby Food","Online","Indo Era Women Blue & Green Printed Kurta with Palazzos & Dupatta","Kurta, Palazzos, Dupatta",4599,"Blue","Indo Era","Cameras","68699.17",155,"4.6","Canon","Camera Store"
22,"A-22","F_22","M-22","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Europe","Portugal","Baby Food","Online","Anouk Women Pink & Blue Ethnic Motifs Embroidered Kurta with Trousers & With Dupatta","Kurta, Trousers, Dupatta",3899,"Pink","Anouk","Mobile Phones","8899.99",76,"3.3","Samsung","TV World"
23,"A-23","F_23","M-23","M","Chicago","Nest-USA","2","Clicked",4500,"ELEC10","Central America and the Caribbean","Honduras","Snacks","Online","Ishin Women Red & Orange Bandhani Print Anarkali Kurta","Kurta, Anarkali",5399,"Red","Ishin","Cameras","12093.87",778,"3.7","Canon","Sports Zone"
24,"A-24","F_24","M-24","M","California","Nest-USA","2","Clicked",4500,"ELEC10","Australia and Oceania","New Zealand","Fruits","Online","Libas Women Maroon Printed Kurta with Palazzos & Dupatta","Kurta, Palazzos, Dupatta",3999,"Maroon","Libas","Laptops","32652.41",244,"3","Dell","ABC Retailers"
25,"A-25","F_25","M-25","M","California","Nest-USA","1","Used",4500,"ELEC10","Europe","Moldova ","Personal Care","Online","Nayo Women Pink & Off-White Floral Screen Print A-Line Pure Cotton Kurta Set With Dupatta","Kurta Set, Dupatta",3699,"Pink","Nayo","Footwear","128329",97,"4","Adidas","Health Gear"
26,"A-26","F_26","M-26","M","California","Nest-USA","1","Used",4500,"ELEC10","Europe","France","Cosmetics","Online","Virah Fashion Women Lime Green Embroidered Layered Thread Work Top with Sharara & With Dupatta","Top, Sharara, Dupatta",4999,"Lime Green","Virah Fashion","Headphones","82165.4",982,"4.6","Sony","XYZ Electronics"
27,"A-27","F_27","M-27","M","California","Nest-USA","1","Used",4500,"ELEC10","Australia and Oceania","Kiribati","Fruits","Online","Indo Era Folksy Floral Screen Print Cotton Kurta Set","Kurta Set",4999,"Burgundy","Indo Era","Footwear","42791.18",678,"3.9","Adidas","Sports Zone"
28,"A-28","F_28","M-28","M","Chicago","Nest-USA","1","Not Used",4500,"ELEC10","Sub-Saharan Africa","Mali","Fruits","Online","Kvsfab Women Pink Floral Embroidered Gotta Patti Kurta with Skirt & With Dupatta","Kurta, Skirt, Dupatta",6899,"Pink","Kvsfab","Cameras","33816.79",438,"4.8","Canon","TV World"
29,"A-29","F_29","M-29","M","California","Nest-USA","1","Clicked",4500,"ELEC10","Europe","Norway","Beverages","Offline","Anouk Women Teal Blue & Pink Yoke Design Regular Kurta with Trousers & Dupatta","Kurta, Trousers, Dupatta",3899,"Teal","Anouk","Mobile Phones","21458.92",157,"4.3","Samsung","ABC Retailers"
30,"A-30","F_30","M-30","F","New York","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","The Gambia","Household","Offline","AHIKA Women Green & Mustard Yellow Printed Straight Kurta","Kurta",1198,"Green","AHIKA","Mobile Phones","40771.23",995,"3.2","Apple","ABC Retailers"
31,"A-31","F_31","M-31","F","New York","Nest-USA","1","Clicked",4500,"ELEC10","Europe","Switzerland","Cosmetics","Offline","Ahalyaa Women Maroon & Gold Printed Kurti with Sharara & Dupatta","Kurti, Sharara, Dupatta",5504,"Maroon","Ahalyaa","Wearable Technology","56377.41",258,"4.2","Fitbit","Camera Store"
32,"A-32","F_32","M-32","F","New York","Nest-USA","1","Used",4500,"ELEC10","Sub-Saharan Africa","South Sudan","Personal Care","Offline","AASI - HOUSE OF NAYO Women Black & Mustard Yellow Solid Kurta with Trousers & Dupatta","Kurta, Trousers, Dupatta",2999,"Black","AASI - HOUSE OF NAYO","Wearable Technology","136280.12",928,"4.1","Fitbit","Sports Zone"
33,"A-33","F_33","M-33","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Australia and Oceania","Australia","Office Supplies","Online","Anubhutee Women Teal Ethnic Motifs Printed Empire Thread Work Pure Cotton Kurta with Trousers & With Dupatta","Kurta, Trousers, Dupatta",5299,"Teal","Anubhutee","Smart Home Devices","56359.8",556,"3.8","Amazon","ABC Retailers"
34,"A-34","F_34","M-34","M","Chicago","Nest-USA","2","Not Used",4500,"ELEC10","Asia","Myanmar","Household","Offline","Anouk Women Red Floral Print A-Line Kurta","Kurta",1699,"Red","Anouk","Smart Home Devices","26307.9",994,"3.1","Amazon","TV World"
35,"A-35","F_35","M-35","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","Djibouti","Snacks","Online","KALINI Women Fluorescent Green Embroidered Pure Cotton Salwar suit","Salwar suit",3699,"Fluorescent Green","KALINI","Headphones","77229.62",958,"4.7","Sony","Camera Store"
36,"A-36","F_36","M-36","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Central America and the Caribbean","Costa Rica","Personal Care","Offline","Indi INSIDE Women Pink Ethnic Motifs Block Printed Anarkali Kurta","Kurta, Anarkali",1599,"Pink","Indi INSIDE","Cameras","141084.17",197,"4.4","Canon","Gadget Shop"
37,"A-37","F_37","M-37","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Middle East and North Africa","Syria","Fruits","Online","Anouk Women Mustard Yellow & Red Geometric Printed Kurta","Kurta",1099,"Mustard","Anouk","Wearable Technology","143237.44",839,"3.7","Fitbit","Laptop Hub"
38,"A-38","F_38","M-38","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","The Gambia","Meat","Online","Varanga Women Red Bandhani Printed Gotta Patti Kurta","Kurta",2999,"Red","Varanga","Footwear","63209.97",437,"3.9","Adidas","Sports Zone"
39,"A-39","F_39","M-39","F","New Jersey","Nest-USA","1","Clicked",4500,"ELEC10","Asia","Brunei","Office Supplies","Online","KALINI Women Pink Floral Embroidered Layered Gotta Patti Kurti with Sharara & With Dupatta","Kurti, Sharara, Dupatta",2999,"Pink","KALINI","Footwear","134039.42",447,"3.5","Adidas","TV World"
40,"A-40","F_40","M-40","F","New Jersey","Nest-USA","one","Clicked",4500,"ELEC10","Europe","Bulgaria","Office Supplies","Online","DIVYANK Women Navy Blue & Grey Ethnic Motifs Printed Mirror Work Kurta with Palazzos","Kurta, Palazzos",2999,"Navy Blue","DIVYANK","Televisions","45597.32",781,"4.7","Samsung","TV World"
41,"A-41","F_41","M-41","F","New Jersey","Nest-USA","3","Clicked",4500,"ELEC10","Sub-Saharan Africa","Niger","Personal Care","Online","Libas Women Lavender Floral Printed Pure Cotton Kurta Set with Dupatta","Kurta Set, Dupatta",2999,"Lavender","Libas","Wearable Technology","63407.14",540,"4.9","Fitbit","Sports Zone"
42,"A-42","F_42","M-42","Female","New Jersey","Nest-USA","4","Clicked",4500,"ELEC10","Middle East and North Africa","Azerbaijan","Cosmetics","Online","Sangria Women Beige & Black Pure Cotton Printed Kurta with Salwar","Kurta, Salwar",2499,"Beige","Sangria","Televisions","15632.05",86,"4.2","Samsung","Health Gear"
43,"A-43","F_43","M-43","F","New Jersey","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","The Gambia","Cereal","Offline","Sangria Women Pink & Golden Printed Pure Cotton Kurta with Trousers","Kurta, Trousers",1899,"Pink","Sangria","Headphones","38182.68",478,"3","Sony","Gadget Shop"
44,"A-44","F_44","M-44","F","Chicago","Nest-USA","1","Used",4500,"ELEC10","Europe","Slovakia","Vegetables","Online","Libas Women Beige & Mustard Yellow Zari Woven Design Straight Kurta Trousers Dupatta","Kurta, Trousers, Dupatta",4499,"Beige","Libas","Smart Home Devices","51317.62",154,"3.1","Amazon","Camera Store"
45,"A-45","F_45","M-45","F","Chicago","Nest-USA","1","Used",4500,"ELEC10","Asia","Myanmar","Clothes","Online","Shae by SASSAFRAS Women Blue & Off-White Printed Anarkali Kurta","Anarkali Kurta",1699,"Blue","Shae by SASSAFRAS","Footwear","13554.38",298,"4.4","Nike","Laptop Hub"
46,"A-46","F_46","M-46","F","Chicago","Nest-USA","1","Not Used",4500,"ELEC10","Sub-Saharan Africa","Comoros","Cereal","Offline","Varanga Floral Net I-Spy Lace Kurta Set","Kurta Set",4999,"Magenta","Varanga","Cameras","30542.69",759,"3.5","Canon","Camera Store"
47,"A-47","F_47","M-47","F","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Europe","Iceland","Cosmetics","Online","Myshka Women Pink Floral Printed Pure Cotton Kurta with Sharara & Dupatta","Kurta, Sharara, Dupatta",6499,"Pink","Myshka","Wearable Technology","138167.94",907,"4.4","Fitbit","ABC Retailers"
48,"A-48","F_48","M-48","F","Chicago","Nest-USA","2","Used",4500,"ELEC10","Europe","Switzerland","Personal Care","Online","Anouk Women Pink & Gold-Toned Ethnic Motifs Printed Gotta Patti Kurta","Kurta",3099,"Pink","Anouk","Wearable Technology","129106.27",502,"3","Fitbit","Gadget Shop"
49,"A-49","F_49","M-49","Female","Chicago","Nest-USA","two","Clicked",4500,"ELEC10","Europe","Macedonia","Clothes","Offline","Indo Era Women Yellow Floral Yoke Design Regular Kurta with Trousers & With Dupatta","Kurta, Trousers, Dupatta",6199,"Yellow","Indo Era","Footwear","75252.19",656,"4.4","Nike","Camera Store"
50,"A-50","F_50","M-50","F","Chicago","Nest-USA","1","Used",4500,"ELEC10","Sub-Saharan Africa","Mauritania","Office Supplies","Offline","heemara Women Purple Floral Embroidered Silk Chiffon Kurta with Trousers & With Dupatta","Kurta, Trousers, Dupatta",6599,"Purple","heemara","Wearable Technology","44982.84",168,"3.6","Fitbit","Sports Zone"
51,"A-51","F_51","M-51","F","Chicago","Nest-USA","2","Clicked",4500,"ELEC10","Europe","Albania","Clothes","Online","Anouk Purple & White Striped Straight Kurta","Kurta",1499,"Purple","Anouk","Headphones","74094.82",126,"4.9","Sony","XYZ Electronics"
52,"A-52","F_52","M-52","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","Lesotho","Fruits","Online","HERE&NOW Women White Solid Straight Kurta","Kurta",1599,"White","HERE&NOW","Headphones","89435.44",587,"4.8","Sony","Audio World"
53,"A-53","F_53","M-53","M","Chicago","Nest-USA","2","Used",4500,"ELEC10","Middle East and North Africa","Saudi Arabia","Cereal","Online","Ahalyaa Women Black Floral Pleated Pure Cotton Kurti with Trousers","Kurti, Trousers",5500,"Black","Ahalyaa","Smart Home Devices","99502.02",907,"3.7","Amazon","Gadget Shop"
54,"A-54","F_54","M-54","M","Chicago","Nest-USA","1","Not Used",4500,"ELEC10","Sub-Saharan Africa","Sierra Leone","Office Supplies","Offline","Rustorange Women Mustard Yellow Floral Printed Angrakha Kurti with Sharara","Kurti, Sharara",3649,"Mustard","Rustorange","Laptops","118752.65",356,"4","Dell","ABC Retailers"
55,"A-55","F_55","M-55","F","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","Sao Tome and Principe","Fruits","Offline","Varanga Women Lavender Ethnic Motifs Printed Panelled Gotta Patti Pure Cotton Kurti with Sharara & With","Kurti, Sharara",6599,"Lavender","Varanga","Footwear","23212.05",466,"3.5","Nike","ABC Retailers"
56,"A-56","F_56","M-56","F","Chicago","Nest-USA","2","Used",4500,"ELEC10","Sub-Saharan Africa","Cote d'Ivoire","Clothes","Online","HERE&NOW Women Green & White Ethnic Motifs Printed Kurta","Kurta",899,"Green","HERE&NOW","Footwear","130456.41",479,"3.9","Adidas","Health Gear"
57,"A-57","F_57","M-57","F","Chicago","Nest-USA","1","Used",4500,"ELEC10","Australia and Oceania","Fiji","Clothes","Offline","Varanga Mustard Marigold Cotton Straight Kurta","Kurta",2199,"Yellow","Varanga","Headphones","91097.63",155,"3.1","Sony","Camera Store"
58,"A-58","F_58","M-58","F","Chicago","Nest-USA","4","Clicked",4500,"ELEC10","Europe","Austria","Cosmetics","Offline","Vishudh Women Black & Teal Blue Checked Pure Cotton Kurta with Palazzo & Dupatta","Kurta, Palazzo, Dupatta",2399,"Black","Vishudh","Mobile Phones","103470.4",894,"5","Samsung","Sports Zone"
59,"A-59","F_59","M-59","F","Chicago","Nest-USA","1","Not Used",4500,"ELEC10","Europe","United Kingdom","Household","Online","Indo Era Women Green Ethnic Motifs Printed Panelled Gotta Patti Pure Cotton Kurta with Trousers & With","Kurta, Trousers",4399,"Green","Indo Era","Smart Home Devices","146928.59",141,"3.7","Amazon","Gadget Shop"
60,"A-60","F_60","M-60","F","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","Djibouti","Cosmetics","Offline","Nayo Women Mustard Printed Straight Kurta With Plazzo  & Dupatta","Kurta, Plazzo, Dupatta",3499,"Mustard","Nayo","Televisions","63098.12",976,"4.3","Samsung","Sports Zone"
61,"A-61","F_61","M-61","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Australia and Oceania","Australia","Cereal","Offline","Vishudh Women White & Navy Blue Printed Anarkali Kurta","Anarkali Kurta",2149,"White","Vishudh","Mobile Phones","25303.41",786,"4.6","Samsung","Sports Zone"
62,"A-62","F_62","M-62","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Europe","San Marino","Baby Food","Online","KALINI Women Teal Blue & Golden Printed Kurti with Sharara","Kurti, Sharara",2499,"Teal","KALINI","Footwear","12746.13",144,"4.5","Adidas","Health Gear"
63,"A-63","F_63","M-63","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Sub-Saharan Africa","Cameroon","Office Supplies","Online","Stylum Women Pink Ethnic Motifs Printed Pure Cotton Kurta with Trousers & Dupatta","Kurta, Trousers, Dupatta",3200,"Pink","Stylum","Smart Home Devices","139278.67",449,"4.7","Amazon","Camera Store"
64,"A-64","F_64","M-64","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Middle East and North Africa","Libya","Clothes","Offline","Sangria Women Pink Printed Straight Kurta","Kurta",1299,"Pink","Sangria","Footwear","82465.48",886,"3.3","Adidas","Sports Zone"
65,"A-65","F_65","M-65","F","Chicago","Nest-USA","one","Used",4500,"ELEC10","Central America and the Caribbean","Haiti","Cosmetics","Offline","Inddus Women Red Embroidered Kurta with Trousers & Dupatta","Kurta, Trousers, Dupatta",5899,"Red","Inddus","Smart Home Devices","89423.16",530,"3.5","Amazon","Camera Store"
66,"A-66","F_66","M-66","F","Chicago","Nest-USA","2","Used",4500,"ELEC10","Sub-Saharan Africa","Rwanda","Cosmetics","Offline","Indo Era Women Off White & Pink Printed Sequinned Cotton Kurta with Palazzos & Dupatta","Kurta, Palazzos, Dupatta",6999,"Off White","Indo Era","Headphones","135319.29",844,"3.5","Sony","Camera Store"
67,"A-67","F_67","M-67","F","Chicago","Nest-USA","one","Used",4500,"ELEC10","Sub-Saharan Africa","Gabon","Personal Care","Offline","anayna Women Blue & White Geometric Screen Print Cotton Fusion Kurta","Kurta",1660,"Blue","anayna","Laptops","21043.63",743,"4.5","Dell","Camera Store"
68,"A-68","F_68","M-68","F","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Central America and the Caribbean","Belize","Clothes","Offline","Biba Women Mustard Yellow & Pink Floral Printed Pure Cotton Straight Kurta","Kurta",1999,"Mustard","Biba","Mobile Phones","20196.49",837,"3","Apple","Gadget Shop"
69,"A-69","F_69","M-69","F","Chicago","Nest-USA","1","Not Used",4500,"ELEC10","Europe","Lithuania","Office Supplies","Offline","Anouk Women Charcoal Grey Pure Cotton Printed Pleated Top with Palazzos","Top, Palazzos",1899,"Charcoal","Anouk","Mobile Phones","90801.2",699,"3.9","Samsung","Sports Zone"
70,"A-70","F_70","M-70","F","Chicago","Nest-USA","2","Clicked",4500,"ELEC10","Sub-Saharan Africa","Madagascar","Clothes","Offline","Yufta Women Lavender & White Ethnic Motifs Printed Kurta with Trousers & Dupatta","Kurta, Trousers, Dupatta",3499,"Lavender","Yufta","Laptops","136744.46",403,"3.3","Dell","Laptop Hub"
71,"A-71","F_71","M-71","F","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Asia","Turkmenistan","Office Supplies","Online","Indo Era Women Pink Ethnic Motifs Embroidered Kurta with Trousers & Dupatta","Kurta, Trousers, Dupatta",5999,"Pink","Indo Era","Televisions","5518.78",703,"3.2","Samsung","Camera Store"
72,"A-72","F_72","M-72","F","Chicago","Nest-USA","1","Used",4500,"ELEC10","Middle East and North Africa","Libya","Fruits","Online","Prakhya Women Pink Self Design Kurta with Trousers & Dupatta","Kurta, Trousers, Dupatta",3298,"Pink","Prakhya","Cameras","28070.42",85,"4.7","Canon","Sports Zone"
73,"A-73","F_73","M-73","M","New Jersey","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","Democratic Republic of the Congo","Beverages","Online","Nayo Women Navy Blue Ethnic Motifs Printed Cotton Kurta","Kurta",1299,"Navy Blue","Nayo","Footwear","23154.43",653,"4.4","Adidas","Sports Zone"
74,"A-74","F_74","M-74","F","California","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","Djibouti","Cereal","Online","Indo Era Women Blue Floral Printed Regular Pure Cotton Kurta with Palazzos & With Dupatta","Kurta, Palazzos, Dupatta",3499,"Blue","Indo Era","Laptops","60657.38",85,"3.9","Dell","Health Gear"
75,"A-75","F_75","M-75","F","California","Nest-USA","2","Clicked",4500,"ELEC10","Middle East and North Africa","Pakistan","Cosmetics","Offline","Anouk Women Lime Green & Blue Printed A-Line Kurta","Kurta",1599,"Lime Green","Anouk","Televisions","140624.85",364,"4.1","Samsung","Gadget Shop"
76,"A-76","F_76","M-76","F","California","Nest-USA","1","Clicked",4500,"ELEC10","North America","Mexico","Household","Offline","Meeranshi Women Green Striped Straight Kurta","Kurta",1399,"Green","Meeranshi","Televisions","142064.13",90,"4.4","Samsung","Audio World"
77,"A-77","F_77","M-77","F","California","Nest-USA","1","Used",4500,"ELEC10","Australia and Oceania","Federated States of Micronesia","Beverages","Online","Khushal K Women Green Ethnic Motifs Printed Gotta Patti Kurta with Trousers & Dupatta","Kurta, Trousers, Dupatta",5699,"Green","Khushal K","Wearable Technology","39644.28",541,"4.7","Fitbit","Audio World"
78,"A-78","F_78","M-78","F","California","Nest-USA","1","Not Used",4500,"ELEC10","Asia","Laos","Vegetables","Offline","Libas Women Green & Gold-Toned Geometric Print Gotta Patti Kurta with Skirt & Dupatta","Kurta, Skirt, Dupatta",3999,"Green","Libas","Mobile Phones","61731.82",658,"4.9","Apple","Sports Zone"
79,"A-79","F_79","M-79","F","California","Nest-USA","5","Used",4500,"ELEC10","Europe","Monaco","Baby Food","Offline","mokshi Ethnic Motifs Viscose Rayon Kurta Set","Kurta Set",3899,"Green","mokshi","Footwear","147622.81",670,"4","Nike","Sports Zone"
80,"A-80","F_80","M-80","F","California","Nest-USA","1","Used",4500,"ELEC10","Australia and Oceania","Samoa ","Cosmetics","Online","Anouk Women Purple Thread Work Kurta with Trousers & With Dupatta","Kurta, Trousers, Dupatta",4299,"Purple","Anouk","Mobile Phones","105418.08",517,"3.3","Apple","Camera Store"
81,"A-81","F_81","M-81","F","California","Nest-USA","1","Not Used",4500,"ELEC10","Europe","Spain","Household","Offline","Biba Women Mustard Yellow & Golden Ethnic Motifs Printed Kurta with Palazzos & Dupatta","Kurta, Palazzos, Dupatta",3999,"Mustard","Biba","Mobile Phones","78310.42",293,"3.3","Apple","ABC Retailers"
82,"A-82","F_82","M-82","F","California","Nest-USA","2","Clicked",4500,"ELEC10","Middle East and North Africa","Lebanon","Clothes","Online","Libas Women Red & Gold-Toned Ethnic Motifs Printed Kurta","Kurta",1399,"Red","Libas","Cameras","88046.57",398,"5","Canon","Camera Store"
83,"A-83","F_83","M-83","F","California","Nest-USA","1","Clicked",4500,"ELEC10","Middle East and North Africa","Iran","Cosmetics","Online","Anubhutee Women Green & Blue Printed Kurta with Trousers","Kurta, Trousers",2989,"Green","Anubhutee","Footwear","137019.02",391,"4.9","Nike","Audio World"
84,"A-84","F_84","M-84","F","California","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","Zambia","Snacks","Online","Divena Women Pink Floral Embroidered Regular Gotta Patti Pure Cotton Kurta with Sharara & With Dupatta","Kurta, Sharara, Dupatta",7999,"Pink","Divena","Headphones","74687.92",333,"4.6","Sony","Sports Zone"
85,"A-85","F_85","M-85","F","California","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","Kenya","Vegetables","Online","Varanga Women Pink & White Leheriya Printed Angrakha Kurta With Embroidery","Kurta",3599,"Pink","Varanga","Smart Home Devices","85278.69",869,"4.3","Amazon","XYZ Electronics"
86,"A-86","F_86","M-86","F","California","Nest-USA","1","Clicked",4500,"ELEC10","North America","Mexico","Personal Care","Offline","Indo Era Women Burgundy & Golden Ethnic Motifs Yoke Design Kurta","Kurta",2699,"Burgundy","Indo Era","Footwear","34672.46",509,"4","Nike","Sports Zone"
